Expected Runtime(s),Num Processes,Universe Size,Insert Rate,Remove Rate,Search Rate,Pred Rate,Dynamic Set Type,Average Runtime(s),Start Time Variance(µs),End Time Variance(µs),Total Throughput,Throughput Per Second,Average Throughput,Average Throughput Per Second,Max Proc Throughput,Max Throughput Per Second,Max Exceeds Average by x%,Min Proc Throughput,Min Throughput Per Second,Min Below Average by x%,Total Preds,Average Preds,Min Preds,Max Preds,Total Searches,Average Searches,Min Searches,Max Searches,Total Inserts,Total Successful Inserts,Average Inserts,Average Successful Inserts,Min Inserts,Max Inserts,Min Successful Inserts,Max Successful Inserts,Total Removes,Total Successful Removes,Average Removes,Average Successful Removes,Min Removes,Max Removes,Min Successful Removes,Max Successful Removes
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000025,0,0,10073100,2014609.9,10073100,2014609.9,10073100,2014609.9,0,10073100,2014609.9,0,4030070,4030070,4030070,4030070,4028345,4028345,4028345,4028345,1006793,503269,1006793,503269,1006793,1006793,503269,503269,1007892,503443,1007892,503443,1007892,1007892,503443,503443
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000016,0,0,10080450,2016083.5,10080450,2016083.5,10080450,2016083.5,0,10080450,2016083.5,0,4033524,4033524,4033524,4033524,4031423,4031423,4031423,4031423,1007429,503943,1007429,503943,1007429,1007429,503943,503943,1008074,503993,1008074,503993,1008074,1008074,503993,503993
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000001,0,0,10097250,2019449.6,10097250,2019449.6,10097250,2019449.6,0,10097250,2019449.6,0,4039018,4039018,4039018,4039018,4039684,4039684,4039684,4039684,1007745,503992,1007745,503992,1007745,1007745,503992,503992,1010803,504842,1010803,504842,1010803,1010803,504842,504842
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000013,0,0,10061000,2012194.8,10061000,2012194.8,10061000,2012194.8,0,10061000,2012194.8,0,4023322,4023322,4023322,4023322,4025993,4025993,4025993,4025993,1004686,501843,1004686,501843,1004686,1004686,501843,501843,1006999,502548,1006999,502548,1006999,1006999,502548,502548
5,1,1048576,1,1,4,4,Jeremy's Trie,5.000024,0,0,10070050,2014000.3,10070050,2014000.3,10070050,2014000.3,0,10070050,2014000.3,0,4027680,4027680,4027680,4027680,4028610,4028610,4028610,4028610,1007294,503447,1007294,503447,1007294,1007294,503447,503447,1006466,503125,1006466,503125,1006466,1006466,503125,503125
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000005,1,10,18198850,3639766.4,9099425,1819883.2,9113850,1822768.2,0.1585265,9085000,1816998.2,0.1585265,7278895,3639447.5,3632203,3646692,7278576,3639288,3633850,3644726,1820012,909968,910006,454984,908759,911253,454326,455642,1821367,909946,910683.5,454973,910188,911179,454758,455188
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000014,1,1,18099000,3619789.9,9049500,1809894.9,9066600,1813314.9,0.18896072,9032400,1806474.9,0.18896072,7239584,3619792,3615086,3624498,7241516,3620758,3611218,3630298,1808145,903531,904072.5,451765.5,902648,905497,451547,451984,1809755,904037,904877.5,452018.5,903448,906307,450952,453085
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000014,1,1,18089850,3617959.9,9044925,1808979.9,9045750,1809144.9,0.009121137,9044100,1808814.9,0.009121137,7232064,3616032,3615261,3616803,7238126,3619063,3618239,3619887,1809477,904638,904738.5,452319,904424,905053,451625,453013,1810183,904588,905091.5,452294,904636,905547,451745,452843
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000025,1,14,18124350,3624851.9,9062175,1812425.9,9064500,1812890.9,0.025656092,9059850,1811960.9,0.025656092,7251365,3625682.5,3623773,3627592,7251596,3625798,3624510,3627086,1812621,905304,906310.5,452652,906040,906581,452336,452968,1808768,905553,904384,452776.5,903241,905527,452073,453480
5,2,1048576,1,1,4,4,Jeremy's Trie,5.000021,1,2,18114700,3622924.8,9057350,1811462.4,9066600,1813312.4,0.102127,9048100,1809612.4,0.102127,7242536,3621268,3618132,3624404,7249707,3624853.5,3620380,3629327,1812913,906329,906456.5,453164.5,906111,906802,452977,453352,1809544,905185,904772,452592.5,903477,906067,452133,453052
